Normalized genre,Wikidata ID,Wikidata title,Wikidata descr
Comedy,Q170539 , parody ," imitative work created to mock, comment on or trivialise an original work"
Other,Q972769 , folk play , German and Hungarian type of drama play
Comedy,Q40831 , comedy , genre of dramatic works intended to be humorous
Other,Q25372 , drama ," artwork intended for performance, formal type of literature"
Other,Q2305470 , social drama ," artwork intended for performance, formal type of literature"
Tragedy,Q80930 , tragedy , form of drama based on human suffering that invokes an accompanying catharsis or pleasure in audiences
Other,Q11886849 , pastoral play , theatre genre
Other,Q148484 , Zauberstück ," German term: theater genre in the Age of the Baroque, so in the 17th and 18th centuries"
Libretto (attributed),Q377258 , singspiel , opera genre
Comedy,Q193979 , farce , comedy genre
Other,Q1408801 , Festspel ," Theaterstück, das zu einem besonderen Anlass verfasst wurde"
Other,Q5421716 , expressionism , theatrical genre
Other,Q354717 , Fragment , Wikimedia disambiguation page
Other,Q1747998 , fairy tale , theatrical genre
Other,Q21010853 , drama ," artwork of human inner feelings, genre of narrative fiction"
Other,Q102430127 , coming-of-age drama , theatrical genre
Other,Q1311570 , Rührstück , historisches Genre des Sprechtheaters
Tragicomedy,Q192881 , tragicomedy , genre of drama and literature
Other,Q1255669 , dramatic poem , literary genre
Libretto (attributed),Q2105776 , Posse mit Gesang ," form of popular German-language music drama, farce"
Other,Q16764901 , travesti , performance in clothes of the opposite sex
Other,Q148453 , magic fairy tale ," Märchen, in denen die Wirklichkeit durch magische Handlungen oder Dinge beeinflusst werden kann"
Other,Q222749 , acting , impersonation of a character in an artistic performance
Other,Q35760 , essay , piece of writing often written from an author's personal point of view
Other,Q2406762 , Proverb , genre théâtral en France
Libretto (attributed),Q781470 , intermezzo , opera genre
