id,name,playName,wikidataId,normalizedGenre,libretto,firstAuthor,title,subtitle,numOfCoAuthors,maxDegreeIds,numOfSegments,numOfActs,numOfSpeakers,numOfSpeakersMale,numOfSpeakersFemale,numOfSpeakersUnknown,numOfPersonGroups,numOfP,numOfL,wikipediaLinkCount,wordCountText,wordCountSp,wordCountStage,yearWritten,yearPremiered,yearPrinted,yearNormalized,digitalSource,originalSourcePublisher,originalSourcePubPlace,originalSourceYear,originalSourceNumberOfPages,averageDegree,density,averageClustering,size,maxDegree,numConnectedComponents,numEdges,diameter,averagePathLength
fre000001,abeille-argelie,abeille-argelie,Q63215430,Tragedy,False,Abeille,"Argélie, Reine de Thessalie",Tragédie,0,ismene,29,5,8,4,4,0,0,0,1884,0.0,17307,15962,0,,1678.0,1674,1674.0,"['http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ABEILLE_ARGELIE.xml', 'http://theatre-classique.fr/pages/documents/ABEILLE_ARGELIE.xml']",,,,,4.25,0.6071428571428571,0.822023809523809,8,7.0,1.0,17.0,2.0,1.392857142857142
fre000002,abeille-coriolan,abeille-coriolan,Q63214898,Tragedy,False,Abeille,Coriolan,Tragédie,0,camille|virgile,23,0,7,3,3,1,0,0,1711,0.0,17050,14664,0,,1676.0,1676,1676.0,"['http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ABEILLE_CORIOLAN.xml', 'http://theatre-classique.fr/pages/documents/ABEILLE_CORIOLAN.xml']",,,,,3.428571428571428,0.5714285714285711,0.723809523809523,7,5.0,2.0,12.0,2.0,1.2
fre000003,abeille-lyncee,abeille-lyncee,Q63215163,Tragedy,False,Abeille,Lyncée,Tragédie,0,erigone,26,5,7,4,3,0,0,0,1563,0.0,13769,13576,7,,1678.0,1681,1678.0,"['http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ABEILLE_LYNCEE.xml', 'http://theatre-classique.fr/pages/documents/ABEILLE_LYNCEE.xml']",,,,,3.714285714285714,0.6190476190476191,0.6952380952380951,7,6.0,1.0,13.0,2.0,1.380952380952381
fre001461,about-risette,about-risette,,Comedy,False,About,Risette ou Les Millions de la Mansarde,Comédie en un Acte Mêlée de Couplets,0,several characters,12,0,4,2,2,0,0,438,70,,7060,6876,438,,1849.0,1873,1849.0,"['http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ABOUT_RISETTE.xml', 'http://theatre-classique.fr/pages/documents/ABOUT_RISETTE.xml']",,,,,3.0,1.0,1.0,4,3.0,1.0,6.0,1.0,1.0
fre001562,adenis-diogene-et-scapin,adenis-diogene-et-scapin,,,False,Adenis,Diogène et Scapin,A Propos en vers,0,diogene|scapin|diogoene,3,0,3,2,0,1,0,0,400,,3087,2983,134,,,1880,1880.0,"['http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ADENIS_DIOGENESCAPIN.xml', 'http://theatre-classique.fr/pages/documents/ADENIS_DIOGENESCAPIN.xml']",,,,,2.0,1.0,1.0,3,2.0,1.0,3.0,1.0,1.0
fre001563,adenis-gaiete-marseillaise,adenis-gaiete-marseillaise,,,False,Adenis,Gaieté Marseillaise,Monologue,0,un-homme,1,0,1,1,0,0,0,0,92,,841,813,0,,,1895,1895.0,"['http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ADENIS_GAITEMARSEILLAISE.xml', 'http://theatre-classique.fr/pages/documents/ADENIS_GAITEMARSEILLAISE.xml']",,,,,0.0,0.0,0.0,1,0.0,1.0,0.0,0.0,0.0
fre000004,adenis-homme-qui-ne-peut-pas-siffler,adenis-homme-qui-ne-peut-pas-siffler,,,False,Adenis,L'Homme qui ne Peut pas Siffler,Monologue,0,un-homme,1,0,1,1,0,0,0,0,165,,1376,1330,2,,,1885,1885.0,"['http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ADENIS_HOMMEQUINEPEUTPASSIFFLER.xml', 'http://theatre-classique.fr/pages/documents/ADENIS_HOMMEQUINEPEUTPASSIFFLER.xml']",,,,,0.0,0.0,0.0,1,0.0,1.0,0.0,0.0,0.0
fre001561,adenisj-la-double-meprise,adenisj-la-double-meprise,,,False,Adenis,La Double Méprise,Charade en Trois Parties,0,nicette|nicoline,25,0,16,0,10,6,0,348,4,,8277,7749,526,,,1888,1888.0,"['http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ADENISJ_DOUBLEMEPRISE.xml', 'http://theatre-classique.fr/pages/documents/ADENISJ_DOUBLEMEPRISE.xml']",,,,,3.875,0.258333333333333,0.899999999999999,16,6.0,3.0,31.0,2.0,1.162162162162162
fre001564,aicard-au-clair-de-la-lune,aicard-au-clair-de-la-lune,,Comedy,False,Aicard,Au Clair de la Lune,Comédie en un Acte et en vers,0,pierrot,12,0,7,4,1,2,0,0,501,,4773,4509,598,,1879.0,1870,1870.0,"['http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/AICARD_AUCLAIRDELALUNE.xml', 'http://theatre-classique.fr/pages/documents/AICARD_AUCLAIRDELALUNE.xml']",,,,,2.0,0.33333333333333304,0.6000000000000001,7,5.0,2.0,7.0,2.0,1.533333333333333
fre001565,aicard-mascarille,aicard-mascarille,,,False,Aicard,Mascarille,A-Propos en vers,0,mascarille,1,0,1,1,0,0,0,0,122,,1131,1040,0,,1873.0,1873,1873.0,"['http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/AICARD_MASCARILLE.xml', 'http://theatre-classique.fr/pages/documents/AICARD_MASCARILLE.xml']",,,,,0.0,0.0,0.0,1,0.0,1.0,0.0,0.0,0.0
fre001566,aicard-moliere-a-shakespeare,aicard-moliere-a-shakespeare,,,False,Aicard,Molière à Shakespeare,Prologue,0,narrateur,1,0,1,1,0,0,0,0,206,,1846,1748,78,,1879.0,1879,1879.0,"['http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/AICARD_MOLIEREASCHAKESPEARE.xml', 'http://theatre-classique.fr/pages/documents/AICARD_MOLIEREASCHAKESPEARE.xml']",,,,,0.0,0.0,0.0,1,0.0,1.0,0.0,0.0,0.0
fre001567,aicard-pygmalion,aicard-pygmalion,,,False,Aicard,Pygmalion,Poème Dramatique en un Acte,0,la-femme,4,0,4,0,0,4,0,0,413,,4200,3896,280,,1879.0,1872,1872.0,"['http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/AICARD_PYGMALION.xml', 'http://theatre-classique.fr/pages/documents/AICARD_PYGMALION.xml']",,,,,2.0,0.6666666666666661,0.583333333333333,4,3.0,1.0,4.0,2.0,1.333333333333333
fre001568,aicard-smilis,aicard-smilis,,,False,Aicard,Smilis,Drame en Quatre Actes en Prose,0,richard|l-amiral,41,0,12,1,4,7,0,702,37,,18701,17887,1230,,1881.0,1884,1881.0,"['http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/AICARD_SMILIS.xml', 'http://theatre-classique.fr/pages/documents/AICARD_SMILIS.xml']",,,,,5.333333333333333,0.48484848484848403,0.8087301587301581,12,8.0,1.0,32.0,3.0,1.636363636363636
fre001569,aignan-polyxene,aignan-polyxene,,Tragedy,False,Aignan,Polyxène,Tragédie en Trois Actes et en vers,0,hecube,17,0,6,2,3,1,0,0,830,,9620,7150,140,,1804.0,1804,1804.0,"['http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/AIGNAN_POLYXENE.xml', 'http://theatre-classique.fr/pages/documents/AIGNAN_POLYXENE.xml']",,,,,3.333333333333333,0.6666666666666661,0.805555555555555,6,5.0,1.0,10.0,2.0,1.333333333333333
fre000005,aigueberre-avare-amoureux,aigueberre-avare-amoureux,Q63215735,Comedy,False,Dumas d'Aigueberre,L'Avare Amoureux,Comédie en un Acte et en Prose,0,argante,22,1,8,4,3,1,0,314,0,0.0,6405,6218,55,,,1781,1781.0,"['http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/AIGUEBERRE_AVAREAMOUREUX.xml', 'http://theatre-classique.fr/pages/documents/AIGUEBERRE_AVAREAMOUREUX.xml']",,,,,4.25,0.6071428571428571,0.7958333333333331,8,6.0,1.0,17.0,3.0,1.464285714285714
fre000006,aigueberre-pan-et-doris,aigueberre-pan-et-doris,,,False,Dumas d'Aigueberre,Pan et Doris Pastorale,,0,pan|palemon,7,1,9,3,0,6,0,0,233,,2289,1628,11,,,1729,1729.0,"['http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/AIGUEBERRE_PANETDORIS.xml', 'http://theatre-classique.fr/pages/documents/AIGUEBERRE_PANETDORIS.xml']",,,,,6.666666666666667,0.833333333333333,0.9523809523809521,9,8.0,1.0,30.0,2.0,1.166666666666666
fre000007,aigueberre-polixene,aigueberre-polixene,Q63215739,Comedy,False,Dumas d'Aigueberre,Polixène,Tragédie en un Acte,0,polixene|pyrrhus,10,1,4,2,2,0,0,0,375,0.0,4088,3388,9,,,1729,1729.0,"['http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/AIGUEBERRE_POLIXENE.xml', 'http://theatre-classique.fr/pages/documents/AIGUEBERRE_POLIXENE.xml']",,,,,2.5,0.833333333333333,0.833333333333333,4,3.0,1.0,5.0,2.0,1.166666666666666
fre000008,aigueberre-prologue,aigueberre-prologue,,,False,Dumas d'Aigueberre,Les Trois Spectacles Prologue,,0,several characters,2,1,7,3,4,0,0,50,0,,2168,1514,0,,,1729,1729.0,"['http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/AIGUEBERRE_PROLOGUE.xml', 'http://theatre-classique.fr/pages/documents/AIGUEBERRE_PROLOGUE.xml']",,,,,6.0,1.0,1.0,7,6.0,1.0,21.0,1.0,1.0
fre000009,alain-legrand-epreuve-reciproque,alain-legrand-epreuve-reciproque,,Comedy,False,Alain,L'Epreuve Réciproque,Comédie,0,madame-de-falignac|lisette|philaminte,18,1,6,3,3,0,0,285,0,,6190,5825,15,,1711.0,1711,1711.0,"['http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ALAINLEGRAND_EPREUVERECIPROQUE.xml', 'http://theatre-classique.fr/pages/documents/ALAINLEGRAND_EPREUVERECIPROQUE.xml']",,,,,4.333333333333333,0.866666666666666,0.9,6,5.0,1.0,13.0,2.0,1.133333333333333
