name,id,wikidataId,firstAuthor,numOfCoAuthors,title,subtitle,normalizedGenre,digitalSource,originalSourcePublisher,originalSourcePubPlace,originalSourceYear,originalSourceNumberOfPages,yearNormalized,size,libretto,averageClustering,density,averagePathLength,maxDegreeIds,averageDegree,diameter,yearPremiered,yearPrinted,maxDegree,numOfSpeakers,numOfSpeakersFemale,numOfSpeakersMale,numOfSpeakersUnknown,numOfPersonGroups,numConnectedComponents,numEdges,yearWritten,numOfSegments,wikipediaLinkCount,numOfActs,wordCountText,wordCountSp,wordCountStage,numOfP,numOfL
"abeille-argelie","fre000001","Q63215430","Abeille","0","Argélie, Reine de Thessalie","Tragédie","Tragedy","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ABEILLE_ARGELIE.xml","","","","","1674","8","false","0.8220238095238095","0.6071428571428571","1.3928571428571428","ismene","4.25","2","1678","1674","7","8","4","4","0","0","1","17","","29","0","5","17307","15962","0","0","1884"
"abeille-coriolan","fre000002","Q63214898","Abeille","0","Coriolan","Tragédie","Tragedy","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ABEILLE_CORIOLAN.xml","","","","","1676","7","false","0.7238095238095238","0.5714285714285714","1.2","camille|virgile","3.4285714285714284","2","1676","1676","5","7","3","3","1","0","2","12","","23","0","0","17041","14655","0","0","1711"
"abeille-lyncee","fre000003","Q63215163","Abeille","0","Lyncée","Tragédie","Tragedy","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ABEILLE_LYNCEE.xml","","","","","1678","7","false","0.6952380952380952","0.6190476190476191","1.380952380952381","erigone","3.7142857142857144","2","1678","1681","6","7","3","4","0","0","1","13","","26","0","5","13732","13539","7","0","1563"
"about-risette","fre001461","","About","0","Risette ou Les Millions de la Mansarde","Comédie en un Acte Mêlée de Couplets","Comedy","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ABOUT_RISETTE.xml","","","","","1849","4","false","1","1","1","several characters","3","1","1849","1873","3","4","2","2","0","0","1","6","","12","","0","7060","6876","438","438","70"
"adenis-homme-qui-ne-peut-pas-siffler","fre000004","","Adenis","0","L'Homme qui ne Peut pas Siffler","Monologue","","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ADENIS_HOMMEQUINEPEUTPASSIFFLER.xml","","","","","1885","1","false","0","0","0","un-homme","0","0","","1885","0","1","0","1","0","0","1","0","","1","","0","1374","1328","2","0","165"
"aigueberre-avare-amoureux","fre000005","","Dumas d'Aigueberre","0","L'Avare Amoureux","Comédie en un Acte et en Prose","Comedy","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/AIGUEBERRE_AVAREAMOUREUX.xml","","","","","1781","8","false","0.7958333333333333","0.6071428571428571","1.4642857142857142","argante","4.25","3","","1781","6","8","3","4","1","0","1","17","","22","","1","6405","6218","55","314","0"
"aigueberre-pan-et-doris","fre000006","","Dumas d'Aigueberre","0","Pan et Doris Pastorale","","","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/AIGUEBERRE_PANETDORIS.xml","","","","","1729","9","false","0.9523809523809523","0.8333333333333334","1.1666666666666667","pan|palemon","6.666666666666667","2","","1729","8","9","0","3","6","0","1","30","","7","","1","2289","1628","11","0","233"
"aigueberre-polixene","fre000007","","Dumas d'Aigueberre","0","Polixène","Tragédie en un Acte","Comedy","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/AIGUEBERRE_POLIXENE.xml","","","","","1729","4","false","0.8333333333333333","0.8333333333333334","1.1666666666666667","polixene|pyrrhus","2.5","2","","1729","3","4","2","2","0","0","1","5","","10","","1","4088","3388","9","0","375"
"aigueberre-prologue","fre000008","","Dumas d'Aigueberre","0","Les Trois Spectacles Prologue","","","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/AIGUEBERRE_PROLOGUE.xml","","","","","1729","7","false","1","1","1","several characters","6","1","","1729","6","7","4","3","0","0","1","21","","2","","1","2168","1514","0","50","0"
"alain-legrand-epreuve-reciproque","fre000009","","Alain","0","L'Epreuve Réciproque","Comédie","Comedy","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ALAINLEGRAND_EPREUVERECIPROQUE.xml","","","","","1711","6","false","0.9","0.8666666666666667","1.1333333333333333","madame-de-falignac|lisette|philaminte","4.333333333333333","2","1711","1711","5","6","3","3","0","0","1","13","","18","","1","6190","5825","15","285","0"
"allainval-ecole-des-bourgeois","fre000010","","Soulas d'Allainval","0","L'Ecole des Bourgeois","Comédie en Trois Actes avec un Prologue","Comedy","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ALLAINVAL_ECOLEDESBOURGEOIS.xml","","","","","1728","13","false","0.7885170385170385","0.6025641025641025","1.4102564102564104","marthon|madame-abraham","7.230769230769231","3","1728","1728","11","13","2","5","6","0","1","47","","49","","3","15068","14615","306","720","2"
"allainval-hiver","fre000011","","Soulas d'Allainval","0","L'Hiver","Comédie en Trois Actes avec un Prologue","Comedy","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ALLAINVAL_HIVER.xml","","","","","1733","10","false","0.1380952380952381","0.2","1.8888888888888888","comus","1.8","3","1733","1733","7","10","3","4","3","0","2","9","","15","","1","8359","8121","179","23","963"
"allais-bon-bougre","fre000012","","Allais","0","Le Pauvre Bougre et le Bon Génie","Féérie en un Acte","","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ALLAIS_BONBOUGRE.xml","","","","","1889","4","false","1","1","1","several characters","3","1","","1889","3","4","1","2","1","0","1","6","","10","","0","3276","3111","286","164","16"
"allais-mecontent","fre000013","","Allais","0","Un Mécontent","Monologue","","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ALLAIS_MECONTENT.xml","","","","","1889","1","false","0","0","0","un-homme","0","0","","1889","0","1","0","1","0","0","1","0","","1","","0","1033","1007","0","41","0"
"ancelot-arago-papillotes","fre000014","","Ancelot","1","Les Papilllotes","Comédie en un Acte, Mêlée de Chant.","Comedy","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANCELOT-ARAGO_PAPILLOTES.xml","","","","","1834","16","false","0.9225524475524476","0.65","1.35","ninon|saint-pol","9.75","2","1834","1834","15","16","2","5","9","0","1","78","","17","","0","9619","9349","377","522","67"
"ancelot-auger-une-seduction","fre001501","","Ancelot","1","Une Séduction","Drame en Deux Actes, Mêlé de Couplets.","","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANCELOT-AUGER_SEDUCTION.xml","","","","","1832","8","false","0.9404761904761905","0.9285714285714286","1.0714285714285714","several characters","6.5","2","1832","1832","7","8","1","2","5","0","1","26","","32","","0","13445","13105","377","640","93"
"andrieux-anaximandre","fre000015","","Andrieux","0","Anaximandre, Comédie.","","Comedy","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANDRIEUX_ANAXIMANDRE.xml","","","","","1782","5","false","0.6","0.6","1.4","anaximandre","2.4","2","1782","1805","4","5","3","2","0","0","1","6","","12","","1","5852","5109","262","0","692"
